lng,lat,height,type
103.90542,31.29754211,2007.719,0
103.90542,31.29726433,2007.333,0
103.90542,31.29698656,2004.386,0
103.90542,31.29670878,2001.797,0
103.90542,31.296431,1993.366,0
103.90542,31.29615322,1983.899,0
103.90542,31.29587544,1974.414,0
103.90542,31.29559767,1984.005,0
103.90542,31.29531989,1997.026,0
103.90542,31.29504211,2010.05,0
103.90542,31.29476433,2016.225,0
103.90542,31.29448656,2021.198,0
103.90542,31.29420878,2026.153,0
103.90542,31.293931,2015.026,0
103.90542,31.29365322,2000.612,0
103.90542,31.29337544,1986.538,0
103.90542,31.29309767,1981.457,0
103.90542,31.29281989,1978.383,0
103.90542,31.29254211,1975.383,0
103.90542,31.29226433,1988.502,0
103.90542,31.29198656,2005.351,0
103.90542,31.29170878,2021.502,0
103.90542,31.291431,2020.514,0
103.90542,31.29115322,2016.51,0
103.90542,31.29087544,2012.49,0
103.90542,31.29059767,2009.769,0
103.90542,31.29031989,2006.433,0
103.90542,31.29004211,2003.793,0
103.90542,31.28976433,2014.011,0
103.90542,31.28948656,2026.499,0
103.90542,31.28920878,2038.966,0
103.90542,31.288931,2046.815,0
103.90542,31.28865322,2054.273,0
103.90542,31.28837544,2061.375,0
103.90542,31.28809767,2062.046,0
103.90542,31.28781989,2061.582,0
103.90542,31.28754211,2061.118,0
103.90542,31.28726433,2047.494,0
103.90542,31.28698656,2031.932,0
103.90542,31.28670878,2016.03,0
103.90542,31.286431,1991.964,0
103.90542,31.28615322,1966.017,0
103.90542,31.28587544,1940.428,0
103.90542,31.28559767,1920.854,0
103.90542,31.28531989,1902.342,0
103.90542,31.28504211,1883.81,0
103.90542,31.28476433,1872.95,0
103.90542,31.28448656,1863.876,0
103.90542,31.28420878,1854.462,0
103.90542,31.283931,1839.904,0
103.90542,31.28365322,1824.44,0
103.90542,31.28337544,1808.956,0
103.90542,31.28309767,1809.588,0
103.90542,31.28281989,1813.514,0
103.90542,31.28254211,1817.1,0
103.90542,31.28226433,1813.39,0
103.90542,31.28198656,1807.976,0
103.90542,31.28170878,1802.902,0
103.90542,31.281431,1776.298,0
103.90542,31.28115322,1745.834,0
103.90542,31.28087544,1715.35,0
103.90542,31.28059767,1701.789,0
103.90542,31.28031989,1690.819,0
103.90542,31.28004211,1680.185,0
103.90542,31.27976433,1695.572,0
103.90542,31.27948656,1716.445,0
103.90542,31.27920878,1736.62,0
103.90542,31.278931,1756.604,0
103.90542,31.27865322,1776.6,0
103.90542,31.27837544,1797.014,0
103.90542,31.27809767,1816.219,0
103.90542,31.27781989,1835.63,0
103.90542,31.27754211,1854.683,0
103.90542,31.27726433,2309.703,0
103.90542,31.27698656,2698.323,0
103.90542,31.27670878,2852.075,0
103.90542,31.276431,2954.804,0
103.90542,31.27615322,3184.884,0
103.90542,31.27587544,3228.309,0
103.90542,31.27559767,3174.259,0
103.90542,31.27531989,3120.697,0
103.90542,31.27504211,3078.109,0
103.90542,31.27476433,3019.601,0
103.90542,31.27448656,2985.259,0
103.90542,31.27420878,2871.674,0
103.90542,31.273931,2698.398,0
103.90542,31.27365322,2347.245,0
103.90542,31.27337544,1879.454,0
103.90542,31.27309767,1528.067,0
103.90542,31.27281989,1465.208,0
103.90542,31.27254211,1449.696,0
103.90542,31.27226433,1437.184,0
103.90542,31.27198656,1425.642,0
103.90542,31.27170878,1414.158,0
103.90542,31.271431,1405.215,0
103.90542,31.27115322,1397.575,0
103.90542,31.27087544,1389.239,0
103.90542,31.27059767,1382.427,0
103.90542,31.27031989,1376.35,0
103.90542,31.27004211,1369.915,0
103.90542,31.26976433,1365.08,0
103.90542,31.26948656,1360.13,0
103.90542,31.26920878,1355.52,0
103.90542,31.268931,1348.914,0
103.90542,31.26865322,1341.503,0
103.90542,31.26837544,1334.036,0
103.90542,31.26809767,1338.388,0
103.90542,31.26781989,1344.872,0
103.90542,31.26754211,1350.926,0
103.90542,31.26726433,1353.529,0
103.90542,31.26698656,1355.529,0
103.90542,31.26670878,1357.529,0
103.90542,31.266431,1349.803,0
103.90542,31.26615322,1339.49,0
103.90542,31.26587544,1329.875,0
103.90542,31.26559767,1317.39,0
103.90542,31.26531989,1304.366,0
103.90542,31.26504211,1291.363,0
103.90542,31.26476433,1293.634,0
103.90542,31.26448656,1299.068,0
103.90542,31.26420878,1304.166,0
103.90542,31.263931,1314.26,0
103.90542,31.26365322,1324.846,0
103.90542,31.26337544,1335.772,0
103.90542,31.26309767,1334.067,0
103.90542,31.26281989,1330.505,0
