x,y
75.0,600.0
78.0,1521.0
78.0,1515.0
78.0,1509.0
78.0,1503.0
78.0,1497.0
78.0,1491.0
78.0,1197.0
78.0,1191.0
78.0,1185.0
78.0,1179.0
78.0,1173.0
78.0,1167.0
78.0,1161.0
78.0,1071.0
78.0,1065.0
78.0,1059.0
78.0,1041.0
78.0,1035.0
78.0,1029.0
78.0,1023.0
78.0,1017.0
78.0,1005.0
78.0,921.0
78.0,915.0
78.0,909.0
78.0,903.0
78.0,897.0
78.0,891.0
78.0,885.0
78.0,879.0
78.0,837.0
78.0,831.0
78.0,825.0
78.0,699.0
78.0,693.0
78.0,687.0
78.0,681.0
78.0,675.0
78.0,669.0
78.0,663.0
78.0,645.0
78.0,639.0
78.0,633.0
78.0,627.0
78.0,621.0
78.0,615.0
78.0,609.0
78.0,603.0
78.0,597.0
78.0,591.0
78.0,39.0
78.0,33.0
81.0,1092.0
81.0,1086.0
81.0,1080.0
81.0,1074.0
81.0,1068.0
81.0,1062.0
81.0,1056.0
81.0,1050.0
81.0,1044.0
81.0,1038.0
81.0,1032.0
81.0,1026.0
81.0,1020.0
81.0,1002.0
81.0,996.0
81.0,990.0
81.0,984.0
81.0,978.0
81.0,726.0
81.0,720.0
81.0,714.0
81.0,708.0
81.0,702.0
81.0,696.0
81.0,690.0
81.0,684.0
81.0,678.0
81.0,672.0
81.0,660.0
81.0,654.0
81.0,642.0
81.0,636.0
81.0,630.0
81.0,624.0
81.0,618.0
81.0,612.0
81.0,318.0
81.0,312.0
84.0,1521.0
84.0,1515.0
84.0,1509.0
84.0,1503.0
84.0,1497.0
84.0,1491.0
84.0,1197.0
84.0,1191.0
84.0,1185.0
84.0,1179.0
84.0,1173.0
84.0,1167.0
84.0,1161.0
84.0,1149.0
84.0,1095.0
84.0,1083.0
84.0,1077.0
84.0,1071.0
84.0,1065.0
84.0,1059.0
84.0,1035.0
84.0,1029.0
84.0,1023.0
84.0,1017.0
84.0,1005.0
84.0,921.0
84.0,915.0
84.0,909.0
84.0,903.0
84.0,897.0
84.0,891.0
84.0,885.0
84.0,879.0
84.0,837.0
84.0,831.0
